opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v,yaw,vx,vy,omega,acc,steer,dt
-4.079243478484978,8.826440951867518,0.28353381614897466,0.27713225452841067,-4.04591,8.93221,-3.96071,9.20264,-4.1292,8.66789,1.4248832733668484,1.5083838000113987,3.8217404528985983,1.5083838000113987,-1.1795806158705895,3.000874242595004,2.8845058361961775,0.16834311477464414,0.027453136692723683
-4.131804856337072,8.825575231497295,0.2778719109589897,0.2888595264137915,-4.10268,8.94803,-4.03838,9.21836,-4.16952,8.66701,1.1153970323563451,1.4824350006255884,3.9041238636782354,1.4824350006255884,-1.2201479520210599,3.0661226683909715,2.806811756468194,0.14104993054885076,0.02622965672891049
-4.182028242920052,8.821857933416045,0.28874516411535006,0.2960281359938598,-4.15977,8.95929,-4.1136,9.24432,-4.2071,8.66707,1.2126123925152519,1.4514162601055232,3.9845472087588596,1.4514162601055232,-1.2565765975281766,3.1179917483449278,5.293965737425887,0.11743699281322433,0.02144409744139497
-4.222852314738403,8.816546342949147,0.31059214993299605,0.29861200042865016,-4.21068,8.96552,-4.18538,9.27508,-4.235,8.6679,1.4285433724616898,1.4763771296720263,4.051409727631832,1.4763771296720263,-1.2834543647342864,3.1527274492636814,2.8740831434591634,0.08866065742693142,0.025341623733628426
-4.271495087671239,8.806978879314538,0.33981673840468773,0.29716588380902664,-4.27048,8.96834,-4.26834,9.30815,-4.27235,8.67118,1.1263797233060402,1.4426938546366141,4.131304960385756,1.4426938546366141,-1.3192587590848521,3.182845371555659,3.337321584380485,0.046857329060722756,0.02437737938457349
-4.317682049117713,8.795235794104782,0.29663620176910327,0.29082875304893685,-4.33062,8.96628,-4.35301,9.26207,-4.30868,8.67628,1.225169100249081,1.4196433605281844,4.2088943895306015,1.4196433605281844,-1.349908210688997,3.1953539806499034,4.6829077515002355,-0.4315091546404273,0.02408243031468439
-4.362652373314117,8.780975339852684,0.25211650977276384,0.2794599250339855,-4.39113,8.95921,-4.4309,9.20817,-4.34704,8.68325,1.366855775995837,1.4405271381645077,4.2858462791003635,1.4405271381645077,-1.394633587401137,2.97210307308566,0.5410401516319975,-0.17498499815669294,0.026059054830630306
-4.411269703496568,8.76183594579865,0.21341986622617864,0.2628367101452904,-4.45201,8.94689,-4.49789,9.15532,-4.3955,8.6902,1.0722917936511558,1.3535471636183973,4.363296476044155,1.3535471636183973,-1.4257925142800312,2.878224976800653,4.726118037947993,-0.21217025223133418,0.006887451919489729
-4.423686181436116,8.756434665011312,0.19798329727529954,0.2556788583359999,-4.47635,8.94045,-4.53083,9.13079,-4.406,8.69464,1.1359813685255857,1.3601665141308057,4.3831201121852885,1.3601665141308057,-1.4301206152399777,2.847886110190437,5.897846749577798,-0.32039213711985337,0.011645599940514036
-4.444567961129236,8.746830937979109,0.18337950294403016,0.24875404921327499,-4.50518,8.93167,-4.56232,9.10592,-4.42767,8.6953,1.6837459968884365,1.3867359501356398,4.416285454500691,1.3867359501356398,-1.43957615595328,2.768913374494745,2.19681301191502,-0.014280645340063926,0.011994756930497825
