# x_m,y_m,w_tr_right,w_tr_left
6.196428571428578,16.932142857142864,0.5758755534498983,0.5758755534498983
6.201785714285721,16.93392857142858,0.5783515406179436,0.5783515406179436
6.207142857142864,16.93571428571429,0.5808474729634924,0.5808474729634924
6.2125000000000075,16.937500000000007,0.5833630944789033,0.5833630944789033
6.220312500000008,16.94218750000001,0.5855728031701116,0.5855728031701116
6.2281250000000075,16.946875000000006,0.5877825118613185,0.5877825118613185
6.2359375000000075,16.95156250000001,0.5899922205525263,0.5899922205525263
6.243750000000008,16.956250000000008,0.5922019292437332,0.5922019292437332
6.251562500000008,16.960937500000007,0.5944116379349429,0.5944116379349429
6.259375000000008,16.96562500000001,0.5966213466261507,0.5966213466261507
6.267187500000008,16.970312500000006,0.5988310553173574,0.5988310553173574
6.275000000000008,16.97500000000001,0.6010407640085658,0.6010407640085658
6.282812500000009,16.97968750000001,0.6032504726997739,0.6032504726997739
6.290625000000009,16.984375000000007,0.6054601813909806,0.6054601813909806
6.298437500000009,16.98906250000001,0.6076698900821883,0.6076698900821883
6.306250000000009,16.99375000000001,0.609879598773398,0.609879598773398
6.314062500000009,16.99843750000001,0.612089307464605,0.612089307464605
6.321875000000009,17.00312500000001,0.6142990161558128,0.6142990161558128
6.329687500000009,17.007812500000007,0.6165087248470197,0.6165087248470197
6.337500000000009,17.01250000000001,0.6187184335382279,0.6187184335382279
6.344531250000009,17.01640625000001,0.6209291251951572,0.6209291251951572
6.351562500000009,17.02031250000001,0.623141768831538,0.623141768831538
6.358593750000008,17.02421875000001,0.6253563437278177,0.6253563437278177
6.365625000000008,17.02812500000001,0.627572829438942,0.627572829438942
6.3726562500000075,17.032031250000006,0.6297912057901591,0.6297912057901591
6.379687500000006,17.035937500000003,0.6320114528728882,0.6320114528728882
6.386718750000006,17.039843750000003,0.6342335510406428,0.6342335510406428
6.393750000000006,17.043750000000003,0.6364574809050473,0.6364574809050473
6.400781250000006,17.047656250000003,0.6386832233318983,0.6386832233318983
6.407812500000006,17.051562500000003,0.6409107594373012,0.6409107594373012
6.414843750000005,17.055468750000003,0.6431400705838696,0.6431400705838696
6.421875000000004,17.059375000000003,0.6453711383769792,0.6453711383769792
6.428906250000004,17.063281250000003,0.6476039446611045,0.6476039446611045
6.435937500000003,17.0671875,0.6498384715161909,0.6498384715161909
6.442968750000003,17.07109375,0.6520747012541003,0.6520747012541003
6.450000000000003,17.075,0.6543126164151193,0.6543126164151193
6.45573529411765,17.078970588235293,0.6562556640058752,0.6562556640058752
6.461470588235297,17.082941176470587,0.6582077610811078,0.6582077610811078
6.4672058823529435,17.08691176470588,0.6601688273637558,0.6601688273637558
6.47294117647059,17.090882352941172,0.6621387831611207,0.6621387831611207
6.478676470588237,17.09485294117647,0.6641175493669482,0.6641175493669482
6.484411764705884,17.098823529411764,0.6661050474632768,0.6661050474632768
6.490147058823531,17.102794117647058,0.6681011995220243,0.6681011995220243
6.495882352941178,17.106764705882348,0.670105928206354,0.670105928206354
6.501617647058826,17.110735294117646,0.6721191567718132,0.6721191567718132
6.507352941176472,17.114705882352936,0.6741408090672356,0.6741408090672356
6.513088235294119,17.118676470588234,0.676170809535446,0.676170809535446
6.518823529411765,17.122647058823524,0.6782090832137492,0.6782090832137492
6.5245588235294125,17.126617647058822,0.6802555557342144,0.6802555557342144
6.53029411764706,17.130588235294113,0.6823101533237788,0.6823101533237788
6.536029411764707,17.13455882352941,0.6843728028041386,0.6843728028041386
6.541764705882353,17.1385294117647,0.6864434315914797,0.6864434315914797
6.5475,17.1425,0.6885219676960207,0.6885219676960207
6.553235294117647,17.14647058823529,0.6906083397213886,0.6906083397213886
6.558970588235294,17.150441176470583,0.6927024768638317,0.6927024768638317
6.564705882352941,17.154411764705877,0.6948043089112658,0.6948043089112658
6.570441176470588,17.15838235294117,0.6969137662421768,0.6969137662421768
6.576176470588234,17.162352941176465,0.6990307798243701,0.6990307798243701
6.581911764705881,17.16632352941176,0.7011552812135851,0.7011552812135851
6.587647058823528,17.170294117647053,0.703287202551956,0.703287202551956
6.593382352941175,17.174264705882347,0.705426476566361,0.705426476566361
6.599117647058822,17.17823529411764,0.7075730365666332,0.7075730365666332
6.604852941176469,17.182205882352932,0.7097268164436502,0.7097268164436502
6.6105882352941165,17.18617647058823,0.7118877506673181,0.7118877506673181
6.616323529411763,17.19014705882352,0.7140557742844245,0.7140557742844245
6.62205882352941,17.194117647058818,0.716230822916399,0.716230822916399
6.627794117647056,17.19808823529411,0.718412832756972,0.718412832756972
6.6335294117647035,17.202058823529406,0.7206017405697205,0.7206017405697205
6.639264705882351,17.206029411764696,0.722797483685538,0.722797483685538
6.644999999999998,17.209999999999994,0.7250000000000008,0.7250000000000008
6.650526315789471,17.214736842105257,0.7265812825216488,0.7265812825216488
6.6560526315789454,17.21947368421052,0.7281672150507691,0.7281672150507691
6.661578947368419,17.224210526315783,0.7297577672707344,0.7297577672707344
6.667105263157893,17.228947368421046,0.7313529090407235,0.7313529090407235
6.672631578947367,17.23368421052631,0.7329526103957011,0.7329526103957011
6.678157894736842,17.238421052631573,0.7345568415463881,0.7345568415463881
6.683684210526315,17.24315789473684,0.7361655728791738,0.7361655728791738
6.689210526315788,17.2478947368421,0.7377787749560316,0.7377787749560316
6.694736842105263,17.252631578947366,0.7393964185143934,0.7393964185143934
6.700263157894737,17.25736842105263,0.7410184744669909,0.7410184744669909
6.70578947368421,17.262105263157892,0.7426449139016889,0.7426449139016889
6.711315789473684,17.266842105263155,0.7442757080812793,0.7442757080812793
6.716842105263158,17.27157894736842,0.7459108284432664,0.7459108284432664
6.722368421052632,17.276315789473685,0.7475502465996099,0.7475502465996099
6.7278947368421065,17.281052631578945,0.7491939343364558,0.7491939343364558
6.73342105263158,17.28578947368421,0.7508418636138543,0.7508418636138543
6.738947368421053,17.290526315789474,0.7524940065654333,0.7524940065654333
6.7444736842105275,17.295263157894738,0.7541503354980736,0.7541503354980736
6.750000000000002,17.3,0.755810822891549,0.755810822891549
6.753409090909093,17.303409090909092,0.756727745074336,0.756727745074336
6.756818181818184,17.30681818181818,0.7576742360235601,0.7576742360235601
6.760227272727274,17.310227272727275,0.7586501850693679,0.7586501850693679
6.7636363636363654,17.313636363636363,0.7596554786750322,0.7596554786750322
6.767045454545457,17.317045454545458,0.7606900004992206,0.7606900004992206
