opt_x,opt_y,outer_width,inner_width,center_x,center_y,outer_x,outer_y,inner_x,inner_y,curvature,ref_v,yaw,vx,vy,omega,acc,steer,dt
-4.095303375807138,8.775470389264248,0.28353381614897466,0.27713225452841067,-4.04591,8.93221,-3.96071,9.20264,-4.1292,8.66789,1.1514788111219163,1.4440246396913312,3.7534219004747107,1.4440246396913312,-1.213952820276982,2.3532151839335005,3.491399717748812,0.2307682108223378,0.02523903671004023
-4.142735848819882,8.779618218340385,0.2778719109589897,0.2888595264137915,-4.10268,8.94803,-4.03838,9.21836,-4.16952,8.66701,1.2473001086022808,1.4495250895153438,3.812814784888633,1.4495250895153438,-1.2211542824590549,2.436430809045315,3.4724269148658595,0.2153577126701356,0.024237513682704853
-4.188655203764822,8.780944423815576,0.28874516411535006,0.2960281359938598,-4.15977,8.95929,-4.1136,9.24432,-4.2071,8.66707,1.3464293669017766,1.4521792368320392,3.8718678099598325,1.4521792368320392,-1.2310414121277056,2.5114064325673424,3.629923367679027,0.1998269267768461,0.019541704336787542
-4.225844177219253,8.779936124063166,0.31059214993299605,0.29861200042865016,-4.21068,8.96552,-4.18538,9.27508,-4.235,8.6679,1.113855174145478,1.45567668879539,3.9209449719345697,1.45567668879539,-1.2409118593646766,2.5677467953756627,4.0551187684288275,0.1862196596364915,0.024030698428122218
-4.271686563201004,8.776563874777269,0.33981673840468773,0.29716588380902664,-4.27048,8.96834,-4.26834,9.30815,-4.27235,8.67118,1.3367745540027423,1.468522626849588,3.982649720814019,1.468522626849588,-1.2549291487434424,2.6325521607463975,3.8783143895786325,0.16629179727334467,0.023053072744424977
-4.315819066865835,8.770617784329744,0.29663620176910327,0.29082875304893685,-4.33062,8.96628,-4.35301,9.26207,-4.30868,8.67628,1.264822685956677,1.4749529566102197,4.043338137279198,1.4749529566102197,-1.2714149280205187,2.688391990836444,3.540017855810518,0.1474151566877137,0.02292177124295083
-4.359648677118379,8.762173763331498,0.25211650977276384,0.2794599250339855,-4.39113,8.95921,-4.4309,9.20817,-4.34704,8.68325,1.1230706709878215,1.4717655501234486,4.104960843504531,1.4717655501234486,-1.2898312590849155,2.7377339381934553,2.732043252986509,0.12965305832034854,0.025807703644349145
-4.408660752553503,8.749984444063733,0.21341986622617864,0.2628367101452904,-4.45201,8.94689,-4.49789,9.15532,-4.3955,8.6902,1.6892996621175937,1.445200752537458,4.175615469638505,1.445200752537458,-1.3113830495275984,2.786507685084462,1.2004338832696089,0.11463097832438253,0.006493850188345777
-4.42077815096941,8.746274146802115,0.19798329727529954,0.2556788583359999,-4.47635,8.94045,-4.53083,9.13079,-4.406,8.69464,0.58542115224492,1.427917202039574,4.193710633094117,1.427917202039574,-1.3162044427475663,2.797262975328723,3.0477081758472844,0.11572664583465514,0.011551505958393252
-4.442159481811443,8.739486193994912,0.18337950294403016,0.24875404921327499,-4.50518,8.93167,-4.56232,9.10592,-4.42767,8.6953,1.1322114963353853,1.4181326914417944,4.226023233020818,1.4181326914417944,-1.323813915874989,2.8165171171159273,4.34687889838466,0.11082929517854948,0.012119341150798778
